id,role_id,google_subject,email,display_name,avatar_url,is_active,provisioned_by_account_id,last_login_at,created_at,updated_at
1,1,google-prod-000001,owner1@lunara-spa.demo,Nguyễn Minh Chủ,https://ui-avatars.com/api/?name=Nguyễn+Minh+Chủ,1,\N,2026-09-01 19:00:00,2026-02-21 16:00:00,2026-08-31 15:00:00
2,2,google-prod-000002,manager2@lunara-spa.demo,Nguyễn Thu Hạnh,https://ui-avatars.com/api/?name=Nguyễn+Thu+Hạnh,1,1,2026-08-10 15:00:00,2026-03-12 14:00:00,2026-08-17 15:00:00
3,2,google-prod-000003,manager3@lunara-spa.demo,Đỗ Gia Yến,https://ui-avatars.com/api/?name=Đỗ+Gia+Yến,1,1,2026-09-06 01:00:00,2026-04-23 13:00:00,2026-09-01 15:00:00
4,2,google-prod-000004,manager4@lunara-spa.demo,Lê Văn Hạnh,https://ui-avatars.com/api/?name=Lê+Văn+Hạnh,1,1,2026-08-02 00:00:00,2026-01-14 09:00:00,2026-08-24 15:00:00
5,2,google-prod-000005,manager5@lunara-spa.demo,Nguyễn Thu Nam,https://ui-avatars.com/api/?name=Nguyễn+Thu+Nam,1,1,2026-08-13 06:00:00,2026-06-14 15:00:00,2026-08-16 15:00:00
6,3,google-prod-000006,reception6@lunara-spa.demo,Vũ Thị Ngọc,https://ui-avatars.com/api/?name=Vũ+Thị+Ngọc,1,4,2026-09-02 10:00:00,2026-03-19 13:00:00,2026-08-25 15:00:00
7,3,google-prod-000007,reception7@lunara-spa.demo,Bùi Thu My,https://ui-avatars.com/api/?name=Bùi+Thu+My,1,4,2026-08-05 09:00:00,2026-05-31 16:00:00,2026-08-22 15:00:00
8,3,google-prod-000008,reception8@lunara-spa.demo,Huỳnh Gia Quỳnh,https://ui-avatars.com/api/?name=Huỳnh+Gia+Quỳnh,1,4,2026-09-15 10:00:00,2026-06-10 15:00:00,2026-08-29 15:00:00
9,3,google-prod-000009,reception9@lunara-spa.demo,Huỳnh Thị Hà,https://ui-avatars.com/api/?name=Huỳnh+Thị+Hà,1,3,2026-08-29 07:00:00,2026-05-27 09:00:00,2026-08-29 15:00:00
10,4,google-prod-000010,therapist10@lunara-spa.demo,Lê Hoài My,https://ui-avatars.com/api/?name=Lê+Hoài+My,1,5,2026-09-03 14:00:00,2026-03-13 10:00:00,2026-09-07 15:00:00
11,4,google-prod-000011,therapist11@lunara-spa.demo,Phan Ngọc Ngọc,https://ui-avatars.com/api/?name=Phan+Ngọc+Ngọc,1,5,2026-08-09 12:00:00,2026-03-18 16:00:00,2026-09-06 15:00:00
12,4,google-prod-000012,therapist12@lunara-spa.demo,Đỗ Hoài Yến,https://ui-avatars.com/api/?name=Đỗ+Hoài+Yến,1,5,2026-08-20 20:00:00,2026-06-30 14:00:00,2026-08-26 15:00:00
13,4,google-prod-000013,therapist13@lunara-spa.demo,Vũ Khánh Uyên,https://ui-avatars.com/api/?name=Vũ+Khánh+Uyên,1,3,2026-08-26 03:00:00,2026-02-11 16:00:00,2026-08-29 15:00:00
14,4,google-prod-000014,therapist14@lunara-spa.demo,Lê Hoài Nam,https://ui-avatars.com/api/?name=Lê+Hoài+Nam,1,3,2026-08-31 23:00:00,2026-03-18 09:00:00,2026-08-18 15:00:00
15,4,google-prod-000015,therapist15@lunara-spa.demo,Đặng Khánh Mai,https://ui-avatars.com/api/?name=Đặng+Khánh+Mai,1,5,2026-08-29 01:00:00,2026-03-10 16:00:00,2026-08-19 15:00:00
16,4,google-prod-000016,therapist16@lunara-spa.demo,Phan Thị Lan,https://ui-avatars.com/api/?name=Phan+Thị+Lan,1,3,2026-08-31 15:00:00,2026-04-08 16:00:00,2026-09-12 15:00:00
17,4,google-prod-000017,therapist17@lunara-spa.demo,Lê Minh Hiền,https://ui-avatars.com/api/?name=Lê+Minh+Hiền,1,2,2026-08-10 23:00:00,2026-06-30 16:00:00,2026-08-17 15:00:00
18,4,google-prod-000018,therapist18@lunara-spa.demo,Võ Ngọc Trang,https://ui-avatars.com/api/?name=Võ+Ngọc+Trang,1,3,2026-08-13 04:00:00,2026-05-09 10:00:00,2026-09-05 15:00:00
19,4,google-prod-000019,therapist19@lunara-spa.demo,Phạm Hoài Hoàng,https://ui-avatars.com/api/?name=Phạm+Hoài+Hoàng,1,2,2026-09-10 11:00:00,2026-06-03 17:00:00,2026-08-25 15:00:00
20,4,google-prod-000020,therapist20@lunara-spa.demo,Huỳnh Gia Ngân,https://ui-avatars.com/api/?name=Huỳnh+Gia+Ngân,1,4,2026-08-19 08:00:00,2026-03-29 11:00:00,2026-09-06 15:00:00
21,4,google-prod-000021,therapist21@lunara-spa.demo,Bùi Quang Bình,https://ui-avatars.com/api/?name=Bùi+Quang+Bình,1,2,2026-08-10 22:00:00,2026-01-12 12:00:00,2026-08-23 15:00:00
22,4,google-prod-000022,therapist22@lunara-spa.demo,Vũ Gia Nga,https://ui-avatars.com/api/?name=Vũ+Gia+Nga,1,3,2026-08-14 15:00:00,2026-02-03 16:00:00,2026-09-14 15:00:00
23,4,google-prod-000023,therapist23@lunara-spa.demo,Lê Thu Huy,https://ui-avatars.com/api/?name=Lê+Thu+Huy,1,2,2026-08-30 06:00:00,2026-03-04 11:00:00,2026-08-20 15:00:00
24,4,google-prod-000024,therapist24@lunara-spa.demo,Huỳnh Hoài Dũng,https://ui-avatars.com/api/?name=Huỳnh+Hoài+Dũng,1,3,2026-09-01 15:00:00,2026-02-02 11:00:00,2026-08-28 15:00:00
25,4,\N,therapist25@lunara-spa.demo,Phan Thanh Nhung,https://ui-avatars.com/api/?name=Phan+Thanh+Nhung,0,3,\N,2026-07-23 09:00:00,2026-09-03 15:00:00
26,5,google-prod-000026,accountant26@lunara-spa.demo,Bùi Khánh Khánh,https://ui-avatars.com/api/?name=Bùi+Khánh+Khánh,1,1,2026-08-02 20:00:00,2026-04-17 15:00:00,2026-08-31 15:00:00
27,5,google-prod-000027,accountant27@lunara-spa.demo,Nguyễn Văn Linh,https://ui-avatars.com/api/?name=Nguyễn+Văn+Linh,1,1,2026-08-29 09:00:00,2026-05-09 16:00:00,2026-08-30 15:00:00
