account_id,phone,preferences,internal_notes,created_at,updated_at
29,0910003673,Không sử dụng tinh dầu mùi mạnh,Khách hàng thân thiết,2026-02-27 09:00:00,2026-08-24 15:00:00
30,0910003674,Massage lực nhẹ,Đã từng phản hồi da nhạy cảm,2026-05-31 10:00:00,2026-09-07 15:00:00
31,0910003675,Massage lực nhẹ,\N,2026-02-18 10:00:00,2026-08-31 15:00:00
32,0910003676,Ưu tiên chuyên viên nữ,\N,2026-06-13 13:00:00,2026-08-17 15:00:00
33,0910003677,Không sử dụng tinh dầu mùi mạnh,Khách hàng thân thiết,2026-04-13 17:00:00,2026-09-07 15:00:00
34,0910003678,Massage lực nhẹ,\N,2026-05-29 12:00:00,2026-09-09 15:00:00
35,0910003679,Da nhạy cảm,Đã từng phản hồi da nhạy cảm,2026-03-18 17:00:00,2026-09-07 15:00:00
36,0910003680,Không sử dụng tinh dầu mùi mạnh,Khách hàng thân thiết,2026-05-09 14:00:00,2026-08-24 15:00:00
37,0910003681,\N,\N,2026-03-28 12:00:00,2026-09-14 15:00:00
38,0910003682,Massage lực vừa,Khách hàng thân thiết,2026-03-23 13:00:00,2026-08-31 15:00:00
39,0910003683,\N,\N,2026-06-29 09:00:00,2026-09-08 15:00:00
40,0910003684,Ưu tiên phòng yên tĩnh,Đã từng phản hồi da nhạy cảm,2026-07-18 16:00:00,2026-09-03 15:00:00
41,0910003685,\N,\N,2026-02-01 13:00:00,2026-08-31 15:00:00
42,0910003686,Ưu tiên chuyên viên nữ,\N,2026-08-04 10:00:00,2026-09-15 15:00:00
43,0910003687,\N,Đã từng phản hồi da nhạy cảm,2026-01-30 17:00:00,2026-09-09 15:00:00
44,0910003688,Da nhạy cảm,Khách hàng thân thiết,2026-04-09 12:00:00,2026-08-18 15:00:00
45,0910003689,Thường đặt lịch cuối tuần,Đã từng phản hồi da nhạy cảm,2026-05-24 13:00:00,2026-09-08 15:00:00
46,0910003690,Massage lực nhẹ,\N,2026-06-10 14:00:00,2026-09-09 15:00:00
47,0910003691,Không sử dụng tinh dầu mùi mạnh,Cần xác nhận trước khi thay đổi lịch,2026-01-13 15:00:00,2026-08-16 15:00:00
48,0910003692,Da nhạy cảm,\N,2026-07-24 16:00:00,2026-09-04 15:00:00
49,0910003693,Massage lực nhẹ,Cần xác nhận trước khi thay đổi lịch,2026-08-03 09:00:00,2026-08-22 15:00:00
50,0910003694,Ưu tiên phòng yên tĩnh,\N,2026-06-16 16:00:00,2026-08-18 15:00:00
51,0910003695,Massage lực nhẹ,\N,2026-06-26 13:00:00,2026-09-04 15:00:00
52,0910003696,\N,Đã từng phản hồi da nhạy cảm,2026-01-24 14:00:00,2026-08-17 15:00:00
53,0910003697,Massage lực vừa,Khách hàng thân thiết,2026-05-14 12:00:00,2026-09-15 15:00:00
