user_id,address,note,created_at
16,"Thanh Xuân, Hà Nội",Khách hàng mới,2026-08-08 12:00:00
17,"Cầu Giấy, Hà Nội",Ưu tiên phòng yên tĩnh,2026-03-26 12:00:00
18,"Hai Bà Trưng, Hà Nội",Da nhạy cảm,2026-03-04 12:00:00
19,"Đống Đa, Hà Nội",Thường đặt cuối tuần,2026-05-07 12:00:00
20,"Hoàng Mai, Hà Nội",\N,2026-04-29 12:00:00
21,"Nam Từ Liêm, Hà Nội",Khách hàng thân thiết,2026-04-24 12:00:00
22,"Long Biên, Hà Nội",Khách hàng mới,2026-04-02 12:00:00
23,"Thanh Xuân, Hà Nội",Ưu tiên phòng yên tĩnh,2026-03-24 12:00:00
24,"Cầu Giấy, Hà Nội",Da nhạy cảm,2026-08-18 12:00:00
25,"Hai Bà Trưng, Hà Nội",Thường đặt cuối tuần,2026-07-15 12:00:00
26,"Đống Đa, Hà Nội",\N,2026-03-20 12:00:00
27,"Hoàng Mai, Hà Nội",Khách hàng thân thiết,2026-07-27 12:00:00
28,"Nam Từ Liêm, Hà Nội",Khách hàng mới,2026-06-14 12:00:00
29,"Long Biên, Hà Nội",Ưu tiên phòng yên tĩnh,2026-03-06 12:00:00
30,"Thanh Xuân, Hà Nội",Da nhạy cảm,2026-03-05 12:00:00
31,"Cầu Giấy, Hà Nội",Thường đặt cuối tuần,2026-03-21 12:00:00
32,"Hai Bà Trưng, Hà Nội",\N,2026-04-22 12:00:00
33,"Đống Đa, Hà Nội",Khách hàng thân thiết,2026-04-26 12:00:00
34,"Hoàng Mai, Hà Nội",Khách hàng mới,2026-07-05 12:00:00
35,"Nam Từ Liêm, Hà Nội",Ưu tiên phòng yên tĩnh,2026-07-30 12:00:00
36,"Long Biên, Hà Nội",Da nhạy cảm,2026-03-04 12:00:00
37,"Thanh Xuân, Hà Nội",Thường đặt cuối tuần,2026-07-19 12:00:00
38,"Cầu Giấy, Hà Nội",\N,2026-04-17 12:00:00
39,"Hai Bà Trưng, Hà Nội",Khách hàng thân thiết,2026-08-11 12:00:00
40,"Đống Đa, Hà Nội",Khách hàng mới,2026-08-24 12:00:00
41,"Hoàng Mai, Hà Nội",Ưu tiên phòng yên tĩnh,2026-07-15 12:00:00
42,"Nam Từ Liêm, Hà Nội",Da nhạy cảm,2026-06-13 12:00:00
43,"Long Biên, Hà Nội",Thường đặt cuối tuần,2026-04-23 12:00:00
44,"Thanh Xuân, Hà Nội",\N,2026-06-20 12:00:00
45,"Cầu Giấy, Hà Nội",Khách hàng thân thiết,2026-07-26 12:00:00
46,"Hai Bà Trưng, Hà Nội",Khách hàng mới,2026-05-08 12:00:00
47,"Đống Đa, Hà Nội",Ưu tiên phòng yên tĩnh,2026-02-27 12:00:00
48,"Hoàng Mai, Hà Nội",Da nhạy cảm,2026-04-07 12:00:00
49,"Nam Từ Liêm, Hà Nội",Thường đặt cuối tuần,2026-08-23 12:00:00
50,"Long Biên, Hà Nội",\N,2026-06-14 12:00:00
51,"Thanh Xuân, Hà Nội",Khách hàng thân thiết,2026-05-24 12:00:00
52,"Cầu Giấy, Hà Nội",Khách hàng mới,2026-05-08 12:00:00
53,"Hai Bà Trưng, Hà Nội",Ưu tiên phòng yên tĩnh,2026-04-06 12:00:00
54,"Đống Đa, Hà Nội",Da nhạy cảm,2026-04-22 12:00:00
55,"Hoàng Mai, Hà Nội",Thường đặt cuối tuần,2026-05-23 12:00:00
56,"Nam Từ Liêm, Hà Nội",\N,2026-03-24 12:00:00
57,"Long Biên, Hà Nội",Khách hàng thân thiết,2026-03-21 12:00:00
58,"Thanh Xuân, Hà Nội",Khách hàng mới,2026-06-03 12:00:00
59,"Cầu Giấy, Hà Nội",Ưu tiên phòng yên tĩnh,2026-03-22 12:00:00
60,"Hai Bà Trưng, Hà Nội",Da nhạy cảm,2026-05-28 12:00:00
61,"Đống Đa, Hà Nội",Thường đặt cuối tuần,2026-05-25 12:00:00
62,"Hoàng Mai, Hà Nội",\N,2026-07-30 12:00:00
63,"Nam Từ Liêm, Hà Nội",Khách hàng thân thiết,2026-05-04 12:00:00
64,"Long Biên, Hà Nội",Khách hàng mới,2026-03-09 12:00:00
65,"Thanh Xuân, Hà Nội",Ưu tiên phòng yên tĩnh,2026-06-23 12:00:00
66,"Cầu Giấy, Hà Nội",Da nhạy cảm,2026-07-13 12:00:00
67,"Hai Bà Trưng, Hà Nội",Thường đặt cuối tuần,2026-03-29 12:00:00
68,"Đống Đa, Hà Nội",\N,2026-06-02 12:00:00
69,"Hoàng Mai, Hà Nội",Khách hàng thân thiết,2026-03-18 12:00:00
70,"Nam Từ Liêm, Hà Nội",Khách hàng mới,2026-07-17 12:00:00
