id,role_id,email,password_hash,full_name,phone,gender,date_of_birth,created_by
1,3,manager1@rosaspa.vn,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Hoàng Văn Khang,0901000001,MALE,1985-01-15,\N
2,3,manager2@rosaspa.vn,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Huỳnh Hoàng Nhung,0901000002,FEMALE,1986-02-15,1
3,3,manager3@rosaspa.vn,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Phan Quang Trang,0901000003,MALE,1987-03-15,1
4,2,staff01@rosaspa.vn,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Võ Văn Quân,0912000001,MALE,1990-01-10,1
5,2,staff02@rosaspa.vn,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Đặng Hoàng Yến,0912000002,FEMALE,1991-02-11,2
6,2,staff03@rosaspa.vn,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Bùi Quang Giang,0912000003,FEMALE,1992-03-12,3
7,2,staff04@rosaspa.vn,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Đỗ Gia Lan,0912000004,MALE,1993-04-13,1
8,2,staff05@rosaspa.vn,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Nguyễn Văn Phong,0912000005,FEMALE,1994-05-14,2
9,2,staff06@rosaspa.vn,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Trần Hoàng Tuấn,0912000006,FEMALE,1995-06-15,3
10,2,staff07@rosaspa.vn,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Lê Quang Chi,0912000007,MALE,1996-07-16,1
11,2,staff08@rosaspa.vn,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Phạm Gia Hương,0912000008,FEMALE,1997-08-17,2
12,2,staff09@rosaspa.vn,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Hoàng Văn Nga,0912000009,FEMALE,1990-09-18,3
13,2,staff10@rosaspa.vn,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Huỳnh Hoàng Thảo,0912000010,MALE,1991-10-19,1
14,2,staff11@rosaspa.vn,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Phan Quang An,0912000011,FEMALE,1992-11-20,2
15,2,staff12@rosaspa.vn,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Vũ Gia Hạnh,0912000012,FEMALE,1993-12-21,3
16,1,customer001@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Nguyễn Văn An,\N,\N,\N,\N
17,1,customer002@example.com,\N,Trần Hoàng Hạnh,0980000002,FEMALE,1979-02-02,\N
18,1,customer003@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Lê Quang Mai,0980000003,MALE,1980-03-03,\N
19,1,customer004@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Phạm Gia Quỳnh,0980000004,FEMALE,1981-04-04,\N
20,1,customer005@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Hoàng Văn Đạt,0980000005,MALE,1982-05-05,\N
21,1,customer006@example.com,\N,Huỳnh Hoàng Hà,0980000006,FEMALE,1983-06-06,\N
22,1,customer007@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Phan Quang Linh,0980000007,MALE,1984-07-07,\N
23,1,customer008@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Vũ Gia Phúc,0980000008,FEMALE,1985-08-08,\N
