id,role_id,google_subject,email,display_name,avatar_url,is_active,provisioned_by_account_id,last_login_at,created_at,updated_at
1,1,189647251776961500518,owner1@lunara-spa.demo,Đặng Xuân Hiếu,https://ui-avatars.com/api/?name=Đặng+Xuân+Hiếu,1,\N,2025-09-18 11:58:00,2025-09-02 05:58:00,2025-09-18 12:58:00
2,2,792378512216373873733,manager2@lunara-spa.demo,Bùi Bảo Anh,https://ui-avatars.com/api/?name=Bùi+Bảo+Anh,1,1,2026-01-04 11:35:00,2025-12-15 10:35:00,2026-01-04 12:35:00
3,2,745963063224257009648,manager3@lunara-spa.demo,Phạm Quang Hiếu,https://ui-avatars.com/api/?name=Phạm+Quang+Hiếu,1,1,2026-07-27 13:10:00,2026-07-20 05:10:00,2026-07-27 14:10:00
4,2,155500517067701033310,manager4@lunara-spa.demo,Vũ Ngọc Ngân,https://ui-avatars.com/api/?name=Vũ+Ngọc+Ngân,1,1,2025-09-30 20:58:00,2025-09-24 05:58:00,2025-09-30 21:58:00
5,2,859088130594734470937,manager5@lunara-spa.demo,Đỗ Chí Thịnh,https://ui-avatars.com/api/?name=Đỗ+Chí+Thịnh,1,1,2025-11-18 21:22:00,2025-11-11 07:22:00,2025-11-18 22:22:00
6,3,747752041884280618915,reception6@lunara-spa.demo,Ngô Ánh Chi,https://ui-avatars.com/api/?name=Ngô+Ánh+Chi,1,2,2026-05-24 05:15:00,2026-05-17 10:15:00,2026-05-24 06:15:00
7,3,963713939175033212653,reception7@lunara-spa.demo,Võ Tuyết Hiền,https://ui-avatars.com/api/?name=Võ+Tuyết+Hiền,1,3,2026-08-21 02:10:00,2026-07-31 05:10:00,2026-08-21 03:10:00
8,3,976500807056310152396,reception8@lunara-spa.demo,Phạm Khánh Hà,https://ui-avatars.com/api/?name=Phạm+Khánh+Hà,1,4,2026-02-04 19:12:00,2026-01-26 05:12:00,2026-02-04 20:12:00
9,3,975901389332969878592,reception9@lunara-spa.demo,Lý Phương Vy,https://ui-avatars.com/api/?name=Lý+Phương+Vy,1,5,2025-12-07 15:01:00,2025-11-24 07:01:00,2025-12-07 16:01:00
10,4,394991220319557908512,therapist10@lunara-spa.demo,Huỳnh Như Nhung,https://ui-avatars.com/api/?name=Huỳnh+Như+Nhung,1,2,2026-08-07 13:00:00,2026-07-23 09:00:00,2026-08-07 14:00:00
11,4,974497517469581903422,therapist11@lunara-spa.demo,Vũ Văn Khánh,https://ui-avatars.com/api/?name=Vũ+Văn+Khánh,1,3,2026-07-29 21:10:00,2026-07-25 05:10:00,2026-07-29 22:10:00
12,4,212603313625609296007,therapist12@lunara-spa.demo,Đặng Diệu Nhung,https://ui-avatars.com/api/?name=Đặng+Diệu+Nhung,1,4,2025-10-24 14:58:00,2025-10-19 05:58:00,2025-10-24 15:58:00
13,4,823501126071110812000,therapist13@lunara-spa.demo,Tô Chí An,https://ui-avatars.com/api/?name=Tô+Chí+An,1,5,2026-04-10 20:59:00,2026-04-02 14:59:00,2026-04-10 21:59:00
14,4,679386068387060931575,therapist14@lunara-spa.demo,Mai Thị Thư,https://ui-avatars.com/api/?name=Mai+Thị+Thư,1,2,2026-02-15 09:54:00,2026-02-10 07:54:00,2026-02-15 10:54:00
15,4,762738378046205913777,therapist15@lunara-spa.demo,Hồ Hồng Uyên,https://ui-avatars.com/api/?name=Hồ+Hồng+Uyên,1,3,2026-08-16 15:10:00,2026-08-13 05:10:00,2026-08-16 16:10:00
16,4,901655936926474810122,therapist16@lunara-spa.demo,Phan Minh Huy,https://ui-avatars.com/api/?name=Phan+Minh+Huy,1,4,2025-10-20 05:03:00,2025-10-15 13:03:00,2025-10-20 06:03:00
17,4,801380745985705041831,therapist17@lunara-spa.demo,Ngô Công Tuấn,https://ui-avatars.com/api/?name=Ngô+Công+Tuấn,1,5,2025-12-26 04:22:00,2025-12-06 07:22:00,2025-12-26 05:22:00
18,4,537780425631349915389,therapist18@lunara-spa.demo,Đinh Hoài Yến,https://ui-avatars.com/api/?name=Đinh+Hoài+Yến,1,2,2026-01-16 21:35:00,2026-01-07 10:35:00,2026-01-16 22:35:00
19,4,604109352358809785404,therapist19@lunara-spa.demo,Nguyễn Kim Nhung,https://ui-avatars.com/api/?name=Nguyễn+Kim+Nhung,1,3,2026-08-02 14:10:00,2026-07-26 05:10:00,2026-08-02 15:10:00
20,4,908401735501066571319,therapist20@lunara-spa.demo,Lý Hải Huy,https://ui-avatars.com/api/?name=Lý+Hải+Huy,1,4,2026-07-12 08:35:00,2026-06-24 13:35:00,2026-07-12 09:35:00
