account_id,phone,preferences,internal_notes,created_at,updated_at
29,0832782244,\N,Khách hàng thân thiết,2026-03-19 07:03:00,2026-06-14 07:03:00
30,0547071613,Ưu tiên kỹ thuật viên nữ,\N,2026-04-16 09:12:00,2026-07-12 09:12:00
31,0874670743,Thích phòng có ánh sáng dịu,\N,2026-06-20 06:51:00,2026-07-07 06:51:00
32,0834031313,Massage lực vừa,\N,2026-03-14 08:36:00,2026-04-17 08:36:00
33,0577587660,Không sử dụng tinh dầu mùi mạnh,\N,2026-02-20 09:01:00,2026-04-23 09:01:00
34,0958233681,\N,Thường đến sớm 15 phút,2025-10-25 14:37:00,2025-11-18 14:37:00
35,0582642884,Da nhạy cảm,Thường đến sớm 15 phút,2026-06-25 13:24:00,2026-07-21 13:24:00
36,0551201585,Da nhạy cảm,Thường đến sớm 15 phút,2026-02-08 11:32:00,2026-05-01 11:32:00
37,0596294669,Ưu tiên phòng yên tĩnh,Khách hàng thân thiết,2026-01-05 12:59:00,2026-01-08 12:59:00
38,0582394740,\N,\N,2026-06-16 12:19:00,2026-07-29 12:19:00
39,0980263385,Không sử dụng tinh dầu mùi mạnh,\N,2025-08-15 11:30:00,2025-09-19 11:30:00
40,0814490145,Thích phòng có ánh sáng dịu,\N,2026-02-22 08:22:00,2026-05-08 08:22:00
41,0813104671,Không sử dụng tinh dầu mùi mạnh,Khách hàng thân thiết,2026-06-06 10:23:00,2026-07-04 10:23:00
42,0943166141,Thường đặt lịch cuối tuần,Cần xác nhận trước khi thay đổi lịch,2025-08-14 11:20:00,2025-10-29 11:20:00
43,0866328881,Massage lực vừa,Thường đến sớm 15 phút,2026-03-17 14:21:00,2026-05-02 14:21:00
44,0866201131,Thích phòng có ánh sáng dịu,\N,2026-01-23 12:50:00,2026-04-17 12:50:00
45,0810307801,Da nhạy cảm,Khách hàng thân thiết,2025-12-31 09:56:00,2026-03-28 09:56:00
46,0560899577,Ưu tiên kỹ thuật viên nữ,Đã từng phản hồi về nhiệt độ phòng,2026-07-19 08:07:00,2026-07-23 08:07:00
47,0885648192,\N,Khách hàng thân thiết,2025-10-30 09:41:00,2025-11-27 09:41:00
48,0885584582,Thích phòng có ánh sáng dịu,\N,2025-09-17 08:50:00,2025-10-21 08:50:00
49,0586989451,Không sử dụng tinh dầu mùi mạnh,Thường đến sớm 15 phút,2026-06-10 13:08:00,2026-08-04 13:08:00
50,0563443969,Thường đặt lịch cuối tuần,\N,2025-11-04 13:10:00,2026-01-03 13:10:00
51,0753001271,Thường đặt lịch cuối tuần,Đã từng phản hồi về nhiệt độ phòng,2025-10-15 12:28:00,2025-10-15 12:28:00
52,0743027841,Ưu tiên kỹ thuật viên nữ,Thường đến sớm 15 phút,2025-12-24 05:59:00,2026-03-04 05:59:00
53,0924275006,Thường đặt lịch cuối tuần,Đã từng phản hồi về nhiệt độ phòng,2025-10-12 11:41:00,2025-10-22 11:41:00
54,0561781881,\N,Cần xác nhận trước khi thay đổi lịch,2025-10-23 14:24:00,2025-12-15 14:24:00
55,0517348557,Massage lực vừa,\N,2026-07-28 07:09:00,2026-08-29 07:09:00
56,0599346311,\N,Đã từng phản hồi về nhiệt độ phòng,2026-03-21 09:57:00,2026-05-23 09:57:00
57,0599338834,Thích phòng có ánh sáng dịu,Cần xác nhận trước khi thay đổi lịch,2026-02-25 12:48:00,2026-05-26 12:48:00
58,0889659093,Massage lực vừa,Đã từng phản hồi về nhiệt độ phòng,2025-10-26 09:15:00,2025-10-29 09:15:00
59,0525071235,Không sử dụng tinh dầu mùi mạnh,Thường đến sớm 15 phút,2026-02-17 11:26:00,2026-03-24 11:26:00
60,0976106035,Da nhạy cảm,Thường đến sớm 15 phút,2025-10-30 06:52:00,2025-11-08 06:52:00
61,0567015666,Ưu tiên phòng yên tĩnh,\N,2025-08-13 14:33:00,2025-08-20 14:33:00
62,0547445428,Massage lực vừa,Khách hàng thân thiết,2026-03-20 11:58:00,2026-05-05 11:58:00
63,0788021544,Ưu tiên phòng yên tĩnh,\N,2026-05-01 07:19:00,2026-06-15 07:19:00
64,0851383155,Thường đặt lịch cuối tuần,\N,2026-01-31 05:07:00,2026-04-28 05:07:00
65,0920486996,\N,\N,2025-11-10 13:17:00,2025-12-05 13:17:00
66,0810535601,Thường đặt lịch cuối tuần,\N,2025-07-22 12:17:00,2025-10-10 12:17:00
67,0537913294,Thích phòng có ánh sáng dịu,Khách hàng thân thiết,2025-08-05 14:00:00,2025-10-22 14:00:00
68,0862393576,Không sử dụng tinh dầu mùi mạnh,\N,2025-11-29 14:03:00,2026-02-18 14:03:00
69,0990541637,Thường đặt lịch cuối tuần,Khách hàng thân thiết,2026-01-30 06:58:00,2026-02-27 06:58:00
70,0935446235,Thường đặt lịch cuối tuần,Cần xác nhận trước khi thay đổi lịch,2026-06-14 06:10:00,2026-08-20 06:10:00
71,0551737562,Không sử dụng tinh dầu mùi mạnh,\N,2026-02-17 13:29:00,2026-05-09 13:29:00
72,0840137932,\N,Thường đến sớm 15 phút,2026-03-23 10:31:00,2026-06-11 10:31:00
73,0532185513,Không sử dụng tinh dầu mùi mạnh,Thường đến sớm 15 phút,2025-10-11 13:24:00,2025-12-31 13:24:00
74,0774261145,Massage lực vừa,\N,2026-06-29 06:07:00,2026-08-30 06:07:00
75,0788195870,Da nhạy cảm,Cần xác nhận trước khi thay đổi lịch,2026-04-18 11:20:00,2026-05-02 11:20:00
76,0839171846,Ưu tiên kỹ thuật viên nữ,\N,2025-09-15 06:47:00,2025-10-26 06:47:00
77,0986491603,Ưu tiên phòng yên tĩnh,Khách hàng thân thiết,2026-02-01 05:19:00,2026-02-12 05:19:00
78,0829067327,Ưu tiên kỹ thuật viên nữ,\N,2026-08-12 07:44:00,2026-09-08 07:44:00
79,0825805260,Da nhạy cảm,\N,2026-04-04 11:52:00,2026-06-23 11:52:00
80,0934210811,Ưu tiên kỹ thuật viên nữ,\N,2026-04-18 09:05:00,2026-07-07 09:05:00
